,centroidid,longitude,latitude
189,MW000190,33.9978011601999,-14.0038395028
190,MW000191,34.9890709867,-16.2082394221
191,MW000192,33.734882825,-13.9025338771
192,MW000193,33.7445113866,-13.9422399954
193,MW000194,34.9825754409,-14.981823669
194,MW000195,35.0102811232,-15.8221438888999
195,MW000196,35.0375455635999,-14.7189624988
196,MW000197,34.7950810803,-16.3683698249999
197,MW000198,35.2182192402,-15.0319345563
198,MW000199,35.4488623383,-15.6263912871
199,MW000200,34.5622959861999,-15.5782381066
200,MW000201,34.0083297464,-10.8930809029
201,MW000202,33.6798680132,-14.0568899739
202,MW000203,33.760915099,-13.8868400603
203,MW000204,35.0021747895,-15.7598339799
204,MW000205,33.2242158585999,-9.53582948575
205,MW000206,33.7769066043,-13.8948754674
206,MW000207,33.5232954238,-12.8240786272
207,MW000208,33.5294920256,-11.6983759179
208,MW000209,33.8032040749999,-14.0252133235999
209,MW000210,35.5989999322,-14.9844919353999
210,MW000211,34.9935871568999,-14.3628031655
211,MW000212,33.6395232567,-12.7675576935
212,MW000213,34.5320573780999,-13.9131570992999
213,MW000214,35.1102594043,-15.8126149354999
214,MW000215,35.0029887470999,-14.2027692745
215,MW000216,34.9985396666,-15.6340555394
216,MW000217,34.523501664,-16.0159975
217,MW000218,35.4601265905999,-14.3447865984
218,MW000219,35.0075844074999,-15.7460870352
219,MW000220,35.0245081902999,-15.738303172
220,MW000221,34.028394618,-11.4381971277
221,MW000222,34.1916656253999,-13.4887833729
222,MW000223,33.973068095,-12.5225395204
223,MW000224,33.9661095514999,-10.1433542074
224,MW000225,32.9420439563999,-13.826612188
225,MW000226,34.0968676647,-10.4278272984
226,MW000227,33.0345436336999,-13.7471192024
227,MW000228,35.1537241305999,-16.186990281
228,MW000229,33.4996124082,-14.0067634889
229,MW000230,33.7529241943,-13.8994950914
230,MW000231,33.8588416025,-12.9123664279
231,MW000232,34.0951424028,-13.7445622518
232,MW000233,34.1161633772,-13.3640893397
233,MW000234,35.3123007379999,-16.0045333184999
234,MW000235,34.8771292464,-14.7773410492
235,MW000236,33.6840346238,-12.3421030678
236,MW000237,35.2299808451,-16.9595962611
237,MW000238,34.9452762943,-15.867129678
238,MW000239,33.7688029077,-14.2030804056
239,MW000240,33.7258340440999,-13.9452768615
240,MW000241,34.2404217104,-12.8323684919
241,MW000242,35.2249429399999,-17.1122785895
242,MW000243,34.9952548921,-15.7656617963
243,MW000244,34.1284240255999,-11.924309428
244,MW000245,34.5397195725999,-13.8754333391
245,MW000246,35.1393374242,-14.3631467887
246,MW000247,33.7614836519,-10.9496724915999
247,MW000248,33.5211363649999,-13.6461561106
248,MW000249,34.9739480403,-15.7605768222999
249,MW000250,34.0019201933999,-12.1176415453
250,MW000251,35.4789042457,-14.1667085207
251,MW000252,35.0375148605999,-14.537710525
252,MW000253,33.2971050079,-13.9547599458999
253,MW000254,35.5317514878,-15.5078412539
254,MW000255,35.0800827002999,-15.7790596691
255,MW000256,33.9725901857,-13.7380639483
256,MW000257,35.2479248543999,-15.4960649808
257,MW000258,35.0876339869999,-15.8254858638999
258,MW000259,35.3609741173999,-15.0513493529
259,MW000260,35.2887201659,-16.0648736041999
260,MW000261,33.5536268512,-13.5771369433999
261,MW000262,35.0467298477,-15.8371676069
262,MW000263,35.0097545793,-15.7658825783999
263,MW000264,34.9879144749,-15.8126954662999
264,MW000265,35.6930766743999,-14.6807432129
265,MW000266,34.9871087476999,-15.7465446516
266,MW000267,35.0465400295,-15.8324817862
267,MW000268,34.9274206457999,-16.029112293
268,MW000269,35.0610723495,-15.536906152
269,MW000270,33.8916082245999,-13.2361487742
270,MW000271,33.7878187525,-13.9949531750999
271,MW000272,33.8827771655,-14.0565935091
272,MW000273,33.5495282935,-10.8300727721999
273,MW000274,33.7262719802,-12.2378239844
274,MW000275,35.0380659137,-15.2236049231
275,MW000276,34.1476548409,-10.7337639008
276,MW000277,33.8250129301,-13.7666528146
277,MW000278,35.0782065025999,-15.8254734848
278,MW000279,33.757731948,-9.86576432354
279,MW000280,33.4869237766,-11.9693389502999
280,MW000281,35.0711073865999,-16.1456612831999
281,MW000282,35.6827219309,-15.7136605477
282,MW000283,35.2260487734999,-16.0156287161
283,MW000284,34.8308159640999,-15.7345577619
284,MW000285,35.0358922659,-15.7667468152999
285,MW000286,35.4396754222999,-14.7817938184
286,MW000287,35.0670792677999,-15.7357969319
287,MW000288,33.8238883587999,-14.0282496041
288,MW000289,35.3786267419,-14.5832103924
289,MW000290,34.945321815,-15.8986571502
290,MW000291,33.8360562040999,-13.6856341193
291,MW000292,35.0448786819,-15.7675346344
292,MW000293,32.9030478876,-13.7963096676999
293,MW000294,35.5142257723,-15.9378558695
294,MW000295,34.7033597729,-15.3976916524
295,MW000296,33.4514570126,-13.0279730903
296,MW000297,33.9243812226999,-11.4424574695
297,MW000298,33.7326326359,-12.5563026298999
298,MW000299,34.2053626296999,-10.4654894288
299,MW000300,34.0620292855999,-13.2645187812
300,MW000301,35.0296506186,-15.7656807467999
301,MW000302,35.0172968175999,-15.8185476534
302,MW000303,34.0241351442,-11.5268513038999
303,MW000304,34.0030508979,-11.4280492875
304,MW000305,33.8282385561999,-14.0084793783
305,MW000306,33.9646077294,-14.0041978633
306,MW000307,35.0441574919999,-15.7714799594
307,MW000308,34.2865028387999,-11.7067106167
308,MW000309,35.0715092084,-15.7716337544
309,MW000310,33.8180221329999,-14.0074784621
310,MW000311,34.9788197868999,-15.7860258456999
311,MW000312,33.7166175046,-10.9404737043
312,MW000313,33.4953942392999,-13.0826879122
313,MW000314,33.433663519,-13.7307734768
314,MW000315,33.5507076848999,-13.3413909347
315,MW000316,35.3354907995,-14.4662093696
316,MW000317,33.6645542807,-13.8655856309
317,MW000318,34.4061479865,-13.7985716934
318,MW000319,35.4689210406,-15.9534581707999
319,MW000320,33.7181269458,-14.005738478
320,MW000321,34.6381301711999,-14.8845466092999
321,MW000322,35.5864319844,-14.3852703058
322,MW000323,33.7884519878999,-11.0631279735
323,MW000324,35.0645477978,-15.9338485839
324,MW000325,34.0068258750999,-14.2017353568
325,MW000326,33.7489796485999,-14.3660344659
326,MW000327,33.8101737466,-12.8814888771
327,MW000328,33.3458781762,-13.7870050886
328,MW000329,35.0556359217999,-16.1056502785
329,MW000330,33.7432182395999,-13.526040414
330,MW000331,34.9908113170999,-15.8157041111
331,MW000332,35.4264162711,-15.8634779905
332,MW000333,33.8098068796999,-14.0121087239
333,MW000334,35.2649405526999,-15.9261817467999
334,MW000335,33.4290469359999,-13.0990258027
335,MW000336,33.6583537579,-11.692761487
336,MW000337,35.0380952116,-15.7772401373
337,MW000338,34.0298326122,-11.4797131344
338,MW000339,33.7812755566,-13.2807158853999
339,MW000340,34.4675004257,-13.7512056973
340,MW000341,33.7633633423999,-13.8929102595
341,MW000342,34.1017051289,-12.4953643406
342,MW000343,35.5641719784999,-15.4539027361
343,MW000344,35.0118351241999,-15.746449623
344,MW000345,34.240698469,-13.5134986943
345,MW000346,35.1443068327,-16.4870158117
346,MW000347,33.8074886429999,-13.9929452249
347,MW000348,35.4790222852,-15.4031309268999
348,MW000349,33.7390703608,-13.8802539376999
349,MW000350,35.3929716868999,-15.8573399426999
350,MW000351,35.1879005787999,-15.0479861319
351,MW000352,35.2730248450999,-14.2163043748
352,MW000353,33.7637888881,-13.8278417668
353,MW000354,33.5691582564,-10.011455357
354,MW000355,35.2291818389999,-16.1388810036
355,MW000356,33.8708106146999,-9.74684209158
356,MW000357,33.5151251883999,-12.9060655908
357,MW000358,33.5599237566,-12.2922107234
358,MW000359,35.0847511198999,-15.8374702164
359,MW000360,34.1617573014,-11.5152286864
360,MW000361,34.160371114,-14.2512267961999
361,MW000362,35.0876186441999,-15.8186670752
362,MW000363,33.7962769081999,-14.0081161386
363,MW000364,35.3474552668999,-15.3877288285
364,MW000365,33.7728447532999,-14.0221247574
365,MW000366,33.7693434768999,-13.9500784155
366,MW000367,34.4241574429999,-14.3398529015
367,MW000368,34.5143758864999,-15.5786553943
368,MW000369,35.0197190753999,-15.8172899572
369,MW000370,35.124644338,-16.555326422
370,MW000371,33.9211218405,-11.6802553582
371,MW000372,34.9088909369,-15.5608904191
372,MW000373,33.7960422134,-13.7634128091
373,MW000374,33.8220035952,-13.8984415787
374,MW000375,34.5856950585,-14.3358645722
375,MW000376,33.3974372656999,-13.3331448812
376,MW000377,35.4163156863999,-14.3283266303999
377,MW000378,35.4892975634,-15.4960954434
378,MW000379,33.8406454157999,-13.8732959839
379,MW000380,35.1438918532999,-15.8042569846
380,MW000381,33.7302585035999,-13.4664813514
381,MW000382,35.088219084,-15.7911421654
382,MW000383,35.2860941725,-15.6860655658
383,MW000384,35.1799174479999,-15.0550863082
384,MW000385,33.1547913994999,-13.5340825613
385,MW000386,35.1865474535999,-14.5112640391
386,MW000387,35.1688347527,-16.3867513972999
387,MW000388,33.7234082441,-14.0164265139
388,MW000389,34.3383237322,-13.5432932564
389,MW000390,33.9496239274999,-13.3578592236
390,MW000391,35.0723825991,-15.786023085
391,MW000392,33.7787276156999,-14.0088115533999
392,MW000393,35.265056893,-15.5956218408
393,MW000394,35.008194162,-15.8242999533
394,MW000395,33.5250547443,-13.277968993
395,MW000396,33.7825004524,-14.0133805015
396,MW000397,35.0378168555999,-15.8200109692
397,MW000398,35.1201310164,-15.6541614447
398,MW000399,35.3190527896,-15.4094058427
399,MW000400,33.5204874037,-11.9010507275999
400,MW000401,33.3971728889,-13.4340297481
401,MW000402,33.7887461576999,-13.9895430420999
402,MW000403,33.3539940360999,-12.7547869691
403,MW000404,34.5557243527999,-14.5929864128
